Race,Year,Date,Finishers
NYC Marathon,2023,11/5/23,51295
Chicago Marathon,2023,10/8/23,48574
Boston Marathon,2023,4/17/23,26600
LA Marathon,2023,3/19/23,16973
Honolulu Marathon,2023,12/10/23,15044
Marine Corps Marathon,2023,10/29/23,13662
Disney World Marathon,2023,1/8/23,12690
Philadelphia Marathon,2023,11/19/23,11412
California International Marathon,2023,12/3/23,9183
Grandma's Marathon,2023,6/17/23,7182
Houston Marathon,2023,1/15/23,6105
The San Francisco Marathon,2023,7/23/23,4883
Cincinnati Flying Pig Marathon,2023,5/7/23,4489
Indianapolis Monumental Marathon,2023,10/28/23,4214
Richmond Marathon,2023,11/11/23,4083
St. George Marathon,2023,10/7/23,3815
Big Sur International Marathon,2023,4/30/23,3633
Dallas Marathon,2023,12/10/23,3377
Austin Marathon,2023,2/19/23,3192
Detroit International Marathon,2023,10/15/23,3080
Columbus Marathon,2023,10/15/23,3006
Pittsburgh Marathon,2023,5/7/23,3000
Miami Marathon,2023,1/29/23,2744
Bataan Memorial Death March,2023,3/19/23,2615
Long Beach Marathon,2023,10/15/23,2516
RnR Nashville Marathon,2023,4/22/23,2328
Portland Oregon Marathon,2023,10/1/23,2255
OC Marathon,2023,5/7/23,2061
Eugene Marathon,2023,4/30/23,2038
Jersey City Marathon,2023,4/23/23,1934
Phoenix Marathon,2023,2/4/23,1926
Memphis Marathon,2023,12/2/23,1921
REVEL Big Bear and Half Marathon,2023,11/18/23,1837
Oklahoma City Memorial Marathon,2023,4/30/23,1814
Seattle Marathon,2023,11/26/23,1748
Shamrock Sportsfest Marathon,2023,3/19/23,1689
Wineglass Marathon,2023,10/1/23,1647
Cox Sports Providence Marathon,2023,5/7/23,1638
Madison Marathon,2023,11/12/23,1627
Colfax Marathon,2023,5/21/23,1600
Big Cottonwood Marathon,2023,9/9/23,1572
REVEL Mt Charleston,2023,4/1/23,1516
Baltimore Marathon,2023,10/14/23,1502
Charlotte's Thunder Road Marathon,2023,11/4/23,1486
Hartford Marathon,2023,10/14/23,1467
Napa Valley Marathon,2023,3/5/23,1452
Des Moines Marathon,2023,10/15/23,1450
Mountains 2 Beach Marathon,2023,5/21/23,1423
Lakefront Marathon,2023,10/1/23,1419
Rock 'n' Roll Arizona Marathon,2023,1/15/23,1408
Bayshore Marathon,2023,5/27/23,1366
Kiawah Island Marathon,2023,12/9/23,1358
Georgia Marathon,2023,2/26/23,1335
Surf City Marathon (prev. Pacific Shoreline Marathon),2023,2/5/23,1268
Cowtown Marathon,2023,2/26/23,1263
Cleveland Marathon,2023,5/21/23,1232
Kansas City Marathon,2023,10/21/23,1231
Vermont City Marathon,2023,5/28/23,1167
Glass City Marathon,2023,4/23/23,1161
Ogden Marathon,2023,5/20/23,1077
Buffalo Marathon,2023,5/28/23,1075
Air Force Marathon,2023,9/16/23,1070
GO! St. Louis Marathon,2023,4/2/23,1065
Missoula Marathon,2023,6/25/23,1050
Kentucky Derby Festival Marathon,2023,4/29/23,1048
Little Rock Marathon,2023,3/5/23,1044
Salt Lake City Marathon,2023,4/22/23,1010
Myrtle Beach Marathon,2023,3/4/23,997
Utah Valley Marathon,2023,6/3/23,996
Fargo Marathon,2023,5/20/23,958
Atlantic City Marathon,2023,10/22/23,953
The Santa Rosa Marathon,2023,8/27/23,952
Erie Marathon at Presque Isle,2023,9/10/23,944
Baystate Marathon,2023,10/15/23,936
Carmel Marathon,2023,4/8/23,936
Grand Rapids Marathon,2023,10/15/23,932
Rocket City Marathon,2023,12/10/23,917
Boulderthon Marathon,2023,10/8/23,916
Maine Marathon,2023,10/1/23,904
Cape Cod Marathon,2023,10/8/23,897
Steamtown Marathon,2023,10/8/23,867
Rehoboth Seashore Marathon,2023,12/2/23,861
Space Coast Marathon,2023,11/26/23,858
Carlsbad Marathon,2023,1/15/23,823
The Woodlands Marathon,2023,3/4/23,822
Tucson Marathon,2023,12/10/23,819
Lincoln Marathon,2023,5/7/23,798
Route 66 Marathon,2023,11/19/23,785
Colorado Marathon,2023,5/7/23,784
Tobacco Road Marathon,2023,3/19/23,779
Jack and Jill's Downhill Saturday Marathon,2023,7/29/23,761
Ventura Marathon,2023,2/26/23,758
Light at the End of the Tunnel Marathon,2023,6/11/23,757
Louisiana Marathon,2023,1/15/23,750
Leadville Trail Marathon,2023,6/17/23,744
Wilmington Marathon,2023,2/25/23,726
Rockies Marathon,2023,6/3/23,711
Akron Marathon,2023,9/30/23,693
Newport Marathon (RI),2023,10/8/23,677
Rhode Races Newport Marathon,2023,4/15/23,676
City of Oaks Marathon,2023,11/5/23,669
The Tunnel Lite Marathon,2023,9/10/23,664
Mount Desert Island marathon,2023,10/15/23,650
Coastal Delaware Running Festival,2023,4/16/23,633
Pikes Peak Marathon,2023,9/17/23,615
